-3.116228748E-02,-1.18591E-02
-3.116228623E-02,-1.52851E-02
-3.116228498E-02,-1.84475E-02
-3.116228373E-02,-2.08194E-02
-3.116228248E-02,-2.31912E-02
-3.116228123E-02,-2.50360E-02
-3.116227998E-02,-2.66172E-02
-3.116227873E-02,-2.84619E-02
-3.116227748E-02,-2.92525E-02
-3.116227623E-02,-3.00431E-02
-3.116227498E-02,-2.97796E-02
-3.116227373E-02,-2.95161E-02
-3.116227248E-02,-2.89890E-02
-3.116227123E-02,-2.87255E-02
-3.116226998E-02,-2.74078E-02
-3.116226873E-02,-2.58266E-02
-3.116226748E-02,-2.42453E-02
-3.116226623E-02,-2.26641E-02
-3.116226498E-02,-2.10829E-02
-3.116226373E-02,-1.89746E-02
-3.116226248E-02,-1.71299E-02
-3.116226123E-02,-1.58122E-02
-3.116225998E-02,-1.37039E-02
-3.116225873E-02,-1.26497E-02
-3.116225748E-02,-1.08050E-02
-3.116225623E-02,-9.7508E-03
-3.116225498E-02,-8.6967E-03
-3.116225373E-02,-7.9061E-03
-3.116225248E-02,-7.6426E-03
-3.116225123E-02,-6.5884E-03
-3.116224998E-02,-6.5884E-03
-3.116224873E-02,-7.1155E-03
-3.116224748E-02,-7.1155E-03
-3.116224623E-02,-7.3790E-03
-3.116224498E-02,-7.9061E-03
-3.116224373E-02,-8.9602E-03
-3.116224248E-02,-9.7508E-03
-3.116224123E-02,-1.10685E-02
-3.116223998E-02,-1.15956E-02
-3.116223873E-02,-1.26497E-02
-3.116223748E-02,-1.37039E-02
-3.116223623E-02,-1.47580E-02
-3.116223498E-02,-1.63393E-02
-3.116223373E-02,-1.71299E-02
-3.116223248E-02,-1.84475E-02
-3.116223123E-02,-1.97652E-02
-3.116222998E-02,-2.08194E-02
-3.116222873E-02,-2.16100E-02
-3.116222748E-02,-2.21371E-02
-3.116222623E-02,-2.26641E-02
-3.116222498E-02,-2.39818E-02
-3.116222373E-02,-2.42453E-02
-3.116222248E-02,-2.55630E-02
-3.116222123E-02,-2.55630E-02
-3.116221998E-02,-2.55630E-02
-3.116221873E-02,-2.58266E-02
-3.116221748E-02,-2.63536E-02
-3.116221623E-02,-2.66172E-02
-3.116221498E-02,-2.63536E-02
-3.116221373E-02,-2.66172E-02
-3.116221248E-02,-2.66172E-02
-3.116221123E-02,-2.66172E-02
-3.116220998E-02,-2.68807E-02
-3.116220873E-02,-2.66172E-02
-3.116220748E-02,-2.63536E-02
-3.116220623E-02,-2.63536E-02
-3.116220498E-02,-2.58266E-02
-3.116220373E-02,-2.52995E-02
-3.116220248E-02,-2.50360E-02
-3.116220123E-02,-2.47724E-02
-3.116219998E-02,-2.42453E-02
-3.116219873E-02,-2.39818E-02
-3.116219748E-02,-2.34547E-02
-3.116219623E-02,-2.24006E-02
-3.116219498E-02,-2.18735E-02
-3.116219373E-02,-2.08194E-02
-3.116219248E-02,-2.05558E-02
-3.116219123E-02,-1.97652E-02
-3.116218998E-02,-1.89746E-02
-3.116218873E-02,-1.81840E-02
-3.116218748E-02,-1.76569E-02
-3.116218623E-02,-1.63393E-02
-3.116218498E-02,-1.55486E-02
-3.116218373E-02,-1.52851E-02
-3.116218248E-02,-1.47580E-02
-3.116218123E-02,-1.44945E-02
-3.116217998E-02,-1.37039E-02
-3.116217873E-02,-1.39674E-02
-3.116217748E-02,-1.31768E-02
-3.116217623E-02,-1.29133E-02
-3.116217498E-02,-1.31768E-02
-3.116217373E-02,-1.29133E-02
-3.116217248E-02,-1.37039E-02
-3.116217123E-02,-1.42310E-02
-3.116216998E-02,-1.44945E-02
-3.116216873E-02,-1.50216E-02
-3.116216748E-02,-1.52851E-02
-3.116216623E-02,-1.63393E-02
-3.116216498E-02,-1.71299E-02
-3.116216373E-02,-1.79205E-02
-3.116216248E-02,-1.87111E-02
-3.116216123E-02,-1.95017E-02
-3.116215998E-02,-2.05558E-02
-3.116215873E-02,-2.10829E-02
-3.116215748E-02,-2.16100E-02
-3.116215623E-02,-2.18735E-02
-3.116215498E-02,-2.21371E-02
-3.116215373E-02,-2.24006E-02
-3.116215248E-02,-2.24006E-02
-3.116215123E-02,-2.21371E-02
-3.116214998E-02,-2.10829E-02
-3.116214873E-02,-2.00288E-02
-3.116214748E-02,-1.95017E-02
-3.116214623E-02,-1.84475E-02
-3.116214498E-02,-1.63393E-02
-3.116214373E-02,-1.47580E-02
-3.116214248E-02,-1.31768E-02
-3.116214123E-02,-1.13321E-02
-3.116213998E-02,-8.6967E-03
-3.116213873E-02,-7.1155E-03
-3.116213748E-02,-5.2707E-03
-3.116213623E-02,-3.1624E-03
-3.116213498E-02,-1.3177E-03
-3.116213373E-02,5.271E-04
-3.116213248E-02,2.3718E-03
-3.116213123E-02,3.6895E-03
-3.116212998E-02,5.0072E-03
-3.116212873E-02,6.3249E-03
-3.116212748E-02,6.5884E-03
-3.116212623E-02,6.5884E-03
-3.116212498E-02,6.3249E-03
-3.116212373E-02,5.0072E-03
-3.116212248E-02,4.2166E-03
-3.116212123E-02,2.6354E-03
-3.116211998E-02,2.635E-04
-3.116211873E-02,-2.1083E-03
-3.116211748E-02,-5.0072E-03
-3.116211623E-02,-8.4332E-03
-3.116211498E-02,-1.13321E-02
-3.116211373E-02,-1.44945E-02
-3.116211248E-02,-1.84475E-02
-3.116211123E-02,-2.18735E-02
-3.116210998E-02,-2.52995E-02
-3.116210873E-02,-2.79349E-02
-3.116210748E-02,-3.05702E-02
-3.116210623E-02,-3.34691E-02
-3.116210498E-02,-3.53139E-02
-3.116210373E-02,-3.63680E-02
-3.116210248E-02,-3.68951E-02
-3.116210123E-02,-3.68951E-02
-3.116209998E-02,-3.58409E-02
-3.116209873E-02,-3.50503E-02
-3.116209748E-02,-3.21514E-02
-3.116209623E-02,-2.87255E-02
-3.116209498E-02,-2.45089E-02
-3.116209373E-02,-1.95017E-02
-3.116209248E-02,-1.42310E-02
-3.116209123E-02,-7.6426E-03
-3.116208998E-02,-1.0541E-03
-3.116208873E-02,6.3249E-03
-3.116208748E-02,1.39674E-02
-3.116208623E-02,2.18735E-02
-3.116208498E-02,3.00431E-02
-3.116208373E-02,3.76857E-02
-3.116208248E-02,4.55918E-02
-3.116208123E-02,5.32343E-02
-3.116207998E-02,6.03498E-02
-3.116207873E-02,6.72018E-02
-3.116207748E-02,7.32631E-02
-3.116207623E-02,7.85338E-02
-3.116207498E-02,8.24869E-02
-3.116207373E-02,8.59129E-02
-3.116207248E-02,8.90753E-02
-3.116207123E-02,8.98659E-02
-3.116206998E-02,9.03930E-02
-3.116206873E-02,8.96024E-02
-3.116206748E-02,8.80212E-02
-3.116206623E-02,8.53858E-02
-3.116206498E-02,8.14327E-02
-3.116206373E-02,7.69526E-02
-3.116206248E-02,7.19454E-02
-3.116206123E-02,6.53570E-02
-3.116205998E-02,5.87686E-02
-3.116205873E-02,5.16531E-02
