OCR,T,P,c
463.08,43.15,1.34,5.21
462.52,43.27,1.35,5.21
462.67,43.24,1.34,5.21
462.87,43.19,1.35,5.21
462.24,43.31,1.35,5.2
462.62,43.26,1.34,5.21
462.95,43.18,1.35,5.21
462.52,43.29,1.35,5.21
462.72,43.24,1.34,5.22
463.05,43.16,1.34,5.21
462.84,43.18,1.35,5.2
462.81,43.2,1.34,5.2
463.15,43.13,1.34,5.2
462.62,43.26,1.34,5.2
463,43.15,1.35,5.2
462.66,43.25,1.35,5.2
462.91,43.19,1.34,5.21
463.15,43.11,1.34,5.2
462.52,43.24,1.35,5.19
462.72,43.24,1.34,5.2
462.94,43.17,1.35,5.2
462.39,43.3,1.35,5.2
462.62,43.25,1.34,5.21
462.56,43.25,1.35,5.2
462.54,43.25,1.34,5.2
463.02,43.16,1.34,5.2
462.93,43.18,1.35,5.2
462.45,43.28,1.35,5.2
462.87,43.18,1.34,5.2
463.13,43.12,1.34,5.2
462.54,43.25,1.35,5.19
462.88,43.2,1.34,5.2
463.21,43.13,1.34,5.2
462.49,43.25,1.35,5.19
462.49,43.27,1.34,5.2
462.63,43.22,1.34,5.19
462.45,43.28,1.35,5.19
462.34,43.3,1.34,5.2
462.79,43.21,1.34,5.2
462.53,43.26,1.35,5.2
462.28,43.3,1.34,5.2
462.68,43.22,1.34,5.2
462.55,43.25,1.35,5.19
462.52,43.26,1.34,5.19
462.68,43.22,1.34,5.19
462.63,43.23,1.35,5.19
462.26,43.31,1.35,5.2
462.54,43.26,1.35,5.2
462.28,43.3,1.35,5.19
462.08,43.34,1.35,5.19
462.58,43.24,1.35,5.19
462.27,43.29,1.35,5.19
462.32,43.3,1.35,5.19
462.66,43.21,1.34,5.19
462.45,43.27,1.35,5.19
462.29,43.3,1.34,5.2
462.61,43.25,1.35,5.2
462.2,43.32,1.35,5.2
462.31,43.32,1.35,5.2
462.36,43.29,1.34,5.2
462.38,43.27,1.35,5.2
462.03,43.37,1.35,5.2
462.24,43.32,1.35,5.2
462.24,43.3,1.35,5.2
461.82,43.4,1.35,5.2
462.33,43.31,1.34,5.2
462.42,43.28,1.35,5.2
461.95,43.37,1.35,5.2
462.27,43.3,1.35,5.2
462.2,43.3,1.35,5.19
462.61,43.24,1.34,5.2
462.83,43.17,1.34,5.19
462.37,43.27,1.35,5.18
462.35,43.28,1.35,5.19
462.64,43.22,1.34,5.19
462.49,43.24,1.35,5.19
462.25,43.32,1.35,5.19
462.52,43.24,1.35,5.2
462.36,43.27,1.35,5.19
461.79,43.4,1.35,5.19
462.29,43.3,1.35,5.19
462.28,43.28,1.35,5.19
461.78,43.42,1.35,5.19
462.53,43.25,1.34,5.2
462.75,43.19,1.34,5.19
462.57,43.25,1.34,5.19
462.81,43.17,1.34,5.18
462.89,43.15,1.35,5.18
462.55,43.22,1.34,5.18
462.9,43.14,1.34,5.18
462.96,43.13,1.35,5.17
462.53,43.24,1.34,5.18
462.83,43.16,1.34,5.18
463.02,43.13,1.34,5.18
462.38,43.26,1.35,5.18
462.75,43.2,1.34,5.18
462.97,43.15,1.34,5.18
462.64,43.19,1.35,5.17
462.55,43.23,1.34,5.18
462.58,43.2,1.34,5.17
462.45,43.26,1.34,5.17
462.84,43.16,1.34,5.18
462.86,43.13,1.35,5.17
462.1,43.32,1.35,5.17
462.5,43.25,1.34,5.18
462.76,43.18,1.34,5.18
462.53,43.24,1.35,5.18
462.11,43.32,1.35,5.18
462.38,43.26,1.34,5.18
462.46,43.23,1.35,5.18
462,43.33,1.35,5.18
462.48,43.24,1.34,5.18
462.63,43.22,1.34,5.18
462.2,43.3,1.35,5.18
462.44,43.26,1.34,5.18
462.64,43.2,1.34,5.18
462.29,43.27,1.35,5.17
462.37,43.27,1.34,5.18
462.63,43.19,1.34,5.18
462.1,43.31,1.35,5.17
462.36,43.28,1.34,5.18
462.9,43.17,1.34,5.19
462.54,43.21,1.35,5.18
462.17,43.3,1.35,5.18
462.54,43.23,1.34,5.18
462.63,43.19,1.35,5.17
462.12,43.29,1.35,5.17
462.61,43.21,1.34,5.17
462.63,43.2,1.34,5.17
462,43.35,1.35,5.17
462.58,43.23,1.34,5.18
463.02,43.14,1.34,5.18
462.22,43.28,1.35,5.17
462.54,43.22,1.34,5.17
462.54,43.21,1.35,5.17
461.95,43.35,1.35,5.17
462.44,43.27,1.34,5.18
462.53,43.22,1.34,5.18
461.81,43.36,1.35,5.17
462.02,43.34,1.35,5.18
461.97,43.33,1.35,5.18
461.78,43.39,1.35,5.18
462.26,43.28,1.34,5.18
462.18,43.29,1.35,5.17
462.1,43.32,1.34,5.17
462.53,43.21,1.34,5.17
462.25,43.27,1.35,5.17
461.88,43.36,1.35,5.17
462.35,43.29,1.34,5.18
462.51,43.21,1.35,5.17
462.12,43.32,1.34,5.17
462.65,43.2,1.34,5.17
462.49,43.22,1.35,5.17
462.58,43.21,1.34,5.18
461.9,43.36,1.35,5.17
462.34,43.26,1.34,5.18
462.52,43.21,1.34,5.17
461.95,43.34,1.35,5.17
461.99,43.33,1.34,5.18
462.64,43.2,1.34,5.17
462.43,43.23,1.35,5.16
462.17,43.29,1.34,5.16
462.67,43.18,1.34,5.17
462.73,43.17,1.35,5.16
462.07,43.32,1.34,5.16
462.64,43.21,1.34,5.17
462.21,43.28,1.34,5.17
462.6,43.2,1.34,5.17
462.71,43.16,1.35,5.16
462.22,43.27,1.34,5.16
462.45,43.22,1.34,5.16
462.57,43.2,1.34,5.16
462.19,43.28,1.35,5.16
462.19,43.29,1.34,5.17
462.68,43.19,1.34,5.18
462.47,43.22,1.35,5.17
461.92,43.34,1.34,5.17
462.25,43.27,1.34,5.17
462.43,43.23,1.34,5.16
462.02,43.32,1.35,5.16
462.28,43.27,1.34,5.17
462.6,43.19,1.34,5.17
462.34,43.25,1.34,5.16
462.49,43.23,1.34,5.17
462.76,43.17,1.34,5.17
462.58,43.19,1.34,5.16
462.35,43.23,1.35,5.15
462.05,43.31,1.35,5.16
462.46,43.25,1.34,5.17
462.24,43.25,1.35,5.17
461.75,43.38,1.35,5.17
462.22,43.29,1.34,5.17
462.21,43.28,1.35,5.17
461.87,43.35,1.35,5.17
462.2,43.28,1.34,5.17
462.56,43.2,1.34,5.17
462.01,43.3,1.34,5.16
462.3,43.26,1.34,5.17
462.37,43.23,1.34,5.16
462.52,43.2,1.34,5.16
462.3,43.25,1.34,5.16
462.21,43.27,1.35,5.16
461.79,43.37,1.35,5.16
461.9,43.34,1.35,5.17
461.43,43.43,1.35,5.17
461.7,43.4,1.35,5.17
462,43.34,1.35,5.18
461.5,43.44,1.35,5.17
461.82,43.37,1.34,5.18
462.02,43.31,1.34,5.17
462.12,43.28,1.34,5.17
461.64,43.4,1.35,5.16
461.64,43.4,1.35,5.17
461.78,43.37,1.35,5.17
461.27,43.46,1.35,5.16
461.4,43.46,1.35,5.17
461.73,43.38,1.34,5.17
461.75,43.37,1.35,5.17
461.26,43.48,1.35,5.17
461.67,43.38,1.34,5.18
461.5,43.42,1.35,5.17
461.78,43.37,1.34,5.17
461.79,43.35,1.35,5.16
461.66,43.4,1.34,5.17
462.04,43.32,1.34,5.18
461.53,43.41,1.35,5.17
461.59,43.4,1.35,5.17
462,43.31,1.34,5.17
461.54,43.4,1.35,5.16
461.38,43.45,1.35,5.17
461.84,43.37,1.35,5.18
461.38,43.47,1.35,5.17
461.49,43.44,1.35,5.18
461.63,43.4,1.35,5.18
461.65,43.4,1.35,5.17
461.01,43.54,1.35,5.17
461.46,43.44,1.34,5.18
461.6,43.41,1.35,5.18
461.25,43.5,1.35,5.18
461.56,43.4,1.35,5.18
461.65,43.39,1.35,5.17
461.19,43.51,1.35,5.17
461.45,43.44,1.35,5.18
461.53,43.44,1.36,5.18
461.05,43.52,1.35,5.18
461.29,43.49,1.35,5.18
461.2,43.51,1.35,5.18
461.18,43.51,1.35,5.18
461.49,43.44,1.34,5.18
461.18,43.49,1.35,5.17
461.48,43.45,1.35,5.18
461.59,43.42,1.35,5.17
461.34,43.47,1.35,5.18
461.63,43.4,1.35,5.17
461.53,43.43,1.35,5.17
461.06,43.54,1.35,5.18
461.43,43.44,1.35,5.18
461.3,43.48,1.35,5.18
461.71,43.38,1.34,5.18
461.36,43.44,1.35,5.17
461.28,43.48,1.35,5.17
461.61,43.41,1.35,5.17
461.02,43.51,1.36,5.16
461.28,43.51,1.35,5.18
461.67,43.4,1.35,5.18
461.56,43.41,1.35,5.17
461.42,43.44,1.35,5.17
461.31,43.46,1.35,5.17
461.17,43.49,1.35,5.18
461.61,43.41,1.34,5.18
461.47,43.44,1.35,5.17
461.56,43.42,1.35,5.17
461.17,43.51,1.35,5.17
461.28,43.48,1.35,5.18
461.21,43.49,1.35,5.18
460.9,43.55,1.35,5.18
461.11,43.51,1.36,5.18
460.9,43.57,1.35,5.18
461.19,43.5,1.35,5.18
461.15,43.5,1.36,5.18
460.94,43.55,1.35,5.18
461.27,43.49,1.35,5.18
461.24,43.48,1.36,5.18
460.81,43.58,1.35,5.17
461.17,43.5,1.35,5.18
461.2,43.49,1.35,5.17
461.12,43.51,1.35,5.18
461.54,43.42,1.35,5.18
461.26,43.46,1.35,5.17
461.25,43.48,1.35,5.17
461.57,43.4,1.35,5.17
461.09,43.51,1.36,5.17
461.14,43.52,1.35,5.18
461.51,43.43,1.35,5.18
461.1,43.52,1.35,5.17
461.42,43.47,1.34,5.18
461.15,43.51,1.35,5.17
461.62,43.4,1.35,5.17
461.48,43.42,1.35,5.17
460.98,43.55,1.35,5.17
461.29,43.47,1.35,5.18
461.02,43.52,1.36,5.17
461.07,43.52,1.35,5.18
461.45,43.44,1.35,5.17
461.15,43.49,1.35,5.17
461.21,43.48,1.35,5.17
461.51,43.41,1.35,5.17
461.04,43.52,1.35,5.17
461.34,43.45,1.35,5.17
461.54,43.41,1.35,5.17
461.08,43.5,1.35,5.17
461.43,43.44,1.34,5.17
461.19,43.49,1.35,5.17
461.73,43.39,1.34,5.17
461.13,43.5,1.35,5.17
461.41,43.43,1.35,5.17
461.56,43.4,1.35,5.16
461.14,43.5,1.35,5.17
461.4,43.45,1.35,5.17
461.25,43.47,1.35,5.17
461.17,43.49,1.35,5.17
461.04,43.51,1.35,5.17
461.61,43.4,1.35,5.17
461.23,43.47,1.35,5.17
461.5,43.46,1.35,5.18
461.83,43.37,1.34,5.18
461.42,43.43,1.35,5.17
461.58,43.4,1.34,5.17
461.73,43.37,1.35,5.16
461.31,43.48,1.35,5.16
461.59,43.41,1.34,5.17
461.48,43.43,1.35,5.17
461.44,43.44,1.35,5.17
461.12,43.52,1.35,5.17
461.62,43.41,1.35,5.17
461.54,43.4,1.35,5.17
461.25,43.49,1.35,5.17
461.75,43.38,1.34,5.17
461.61,43.39,1.35,5.16
461.32,43.46,1.35,5.16
461.7,43.38,1.34,5.17
461.33,43.44,1.35,5.16
461.21,43.5,1.35,5.17
461.41,43.44,1.35,5.17
461.13,43.49,1.35,5.17
461.29,43.48,1.35,5.16
461.36,43.45,1.35,5.17
461.68,43.37,1.35,5.17
461.18,43.47,1.35,5.16
461.35,43.45,1.35,5.16
461.39,43.44,1.35,5.16
461.22,43.47,1.35,5.16
461.4,43.42,1.35,5.16
461.76,43.37,1.35,5.16
461.22,43.5,1.35,5.17
461.53,43.41,1.34,5.17
461.47,43.43,1.35,5.17
461.03,43.5,1.35,5.16
461.21,43.48,1.35,5.16
461.09,43.49,1.36,5.16
460.94,43.55,1.35,5.17
461.03,43.5,1.36,5.17
461.15,43.5,1.35,5.17
461.55,43.42,1.35,5.17
461.14,43.49,1.35,5.17
461.58,43.41,1.35,5.17
461.49,43.43,1.35,5.17
461.4,43.43,1.35,5.17
461.74,40.8,1.03,3.74
482.8,39.36,1,5.32
482.79,39.33,1,5.33
482.92,39.3,1,5.35
483.38,39.19,0.99,5.33
484.03,39.07,0.99,5.33
484.43,38.93,0.99,5.32
485.04,38.8,0.98,5.3
485.75,38.66,0.98,5.29
486.25,38.51,0.97,5.27
486.85,38.36,0.97,5.25
487.62,38.19,0.97,5.24
488.28,38.03,0.96,5.22
489.03,37.86,0.96,5.2
489.71,37.7,0.96,5.19
490.44,37.54,0.96,5.18
491.17,37.38,0.95,5.17
491.84,37.23,0.95,5.16
492.59,37.07,0.95,5.15
493.19,36.94,0.94,5.15
493.76,36.81,0.94,5.14
494.41,36.68,0.94,5.14
494.92,36.57,0.93,5.14
495.48,36.45,0.93,5.13
495.97,36.35,0.93,5.13
496.46,36.25,0.93,5.13
496.95,36.15,0.92,5.13
497.42,36.05,0.92,5.13
497.77,35.93,0.92,5.12
498.22,35.84,0.92,5.1
498.62,35.76,0.92,5.1
498.99,35.68,0.91,5.1
499.3,35.61,0.91,5.1
499.69,35.54,0.91,5.1
500.04,35.46,0.91,5.1
500.35,35.4,0.91,5.1
500.6,35.35,0.9,5.1
500.87,35.29,0.9,5.1
501.12,35.24,0.9,5.1
501.36,35.18,0.9,5.1
501.63,35.12,0.9,5.09
501.87,35.07,0.9,5.09
502.14,35.01,0.89,5.09
502.4,34.95,0.89,5.09
502.63,34.9,0.89,5.08
502.87,34.84,0.89,5.08
503.1,34.79,0.89,5.07
503.36,34.73,0.89,5.07
503.58,34.68,0.89,5.07
503.81,34.63,0.89,5.06
504.01,34.58,0.89,5.06
504.25,34.53,0.88,5.06
504.45,34.48,0.88,5.06
504.64,34.44,0.88,5.05
504.84,34.39,0.88,5.05
505.02,34.35,0.88,5.05
505.27,34.3,0.88,5.04
505.45,34.26,0.88,5.04
505.65,34.22,0.88,5.04
505.81,34.18,0.87,5.04
506,34.14,0.87,5.04
506.17,34.1,0.87,5.03
506.32,34.06,0.87,5.03
506.52,34.02,0.87,5.03
506.68,33.99,0.87,5.03
506.84,33.95,0.87,5.03
507.01,33.91,0.87,5.03
507.16,33.88,0.87,5.03
507.33,33.85,0.87,5.02
507.47,33.82,0.87,5.02
507.6,33.78,0.87,5.02
507.77,33.75,0.86,5.02
507.89,33.73,0.86,5.02
508.04,33.7,0.86,5.02
508.16,33.67,0.86,5.02
508.28,33.64,0.86,5.02
508.42,33.62,0.86,5.02
508.54,33.59,0.86,5.02
508.64,33.57,0.86,5.02
508.76,33.55,0.86,5.02
508.86,33.52,0.86,5.02
508.99,33.5,0.86,5.03
509.08,33.48,0.86,5.03
509.19,33.46,0.86,5.03
509.26,33.44,0.86,5.03
509.38,33.43,0.86,5.03
509.46,33.41,0.85,5.03
509.55,33.39,0.85,5.03
509.62,33.38,0.85,5.03
509.73,33.36,0.85,5.04
509.79,33.35,0.85,5.04
509.86,33.34,0.85,5.04
509.94,33.32,0.85,5.04
510.03,33.31,0.85,5.04
510.07,33.3,0.85,5.04
510.16,33.28,0.85,5.04
510.23,33.27,0.85,5.05
510.31,33.25,0.85,5.05
510.4,33.24,0.85,5.05
510.45,33.23,0.85,5.05
510.53,33.22,0.85,5.05
510.61,33.2,0.85,5.06
510.65,33.19,0.85,5.06
510.71,33.18,0.85,5.06
510.78,33.17,0.85,5.06
510.84,33.16,0.85,5.06
510.91,33.15,0.85,5.06
510.97,33.14,0.84,5.06
511.02,33.12,0.84,5.07
511.09,33.11,0.84,5.07
511.17,33.1,0.84,5.07
511.17,33.09,0.84,5.06
511.26,33.07,0.84,5.06
511.32,33.06,0.84,5.07
511.38,33.05,0.84,5.06
511.43,33.03,0.84,5.06
511.5,33.02,0.84,5.06
511.54,33.01,0.84,5.06
511.6,33,0.84,5.06
511.66,32.98,0.84,5.06
511.7,32.97,0.84,5.06
511.76,32.96,0.84,5.06
511.83,32.95,0.84,5.06
511.85,32.94,0.84,5.06
511.94,32.93,0.84,5.06
512.01,32.92,0.84,5.06
512.06,32.9,0.84,5.06
512.11,32.89,0.84,5.06
512.18,32.88,0.84,5.06
512.24,32.87,0.84,5.07
512.33,32.86,0.84,5.07
512.32,32.85,0.84,5.07
512.4,32.84,0.84,5.07
512.44,32.83,0.84,5.07
512.5,32.82,0.84,5.07
512.55,32.81,0.84,5.07
512.6,32.8,0.84,5.07
512.63,32.8,0.84,5.07
512.67,32.79,0.84,5.07
512.71,32.78,0.84,5.08
512.72,32.77,0.84,5.07
512.78,32.77,0.84,5.07
512.77,32.76,0.84,5.07
512.8,32.76,0.84,5.07
512.81,32.76,0.84,5.07
512.83,32.75,0.84,5.07
512.86,32.75,0.84,5.07
512.89,32.75,0.84,5.07
512.91,32.74,0.84,5.08
512.94,32.74,0.84,5.08
512.95,32.73,0.84,5.08
512.97,32.73,0.84,5.08
513.01,32.72,0.84,5.08
513.02,32.72,0.84,5.08
513.03,32.72,0.84,5.08
513.05,32.72,0.84,5.08
513.06,32.71,0.84,5.08
513.09,32.71,0.84,5.08
513.1,32.7,0.84,5.08
513.11,32.7,0.84,5.08
513.17,32.69,0.84,5.08
513.2,32.69,0.83,5.08
513.2,32.68,0.83,5.08
513.25,32.68,0.83,5.08
513.3,32.68,0.83,5.09
513.4,32.67,0.83,5.09
513.34,32.67,0.83,5.09
513.35,32.67,0.83,5.1
513.44,32.66,0.83,5.1
513.48,32.66,0.83,5.1
513.45,32.66,0.83,5.1
513.46,32.65,0.83,5.1
513.52,32.65,0.83,5.1
513.56,32.65,0.83,5.11
513.51,32.65,0.83,5.11
513.55,32.64,0.83,5.11
513.58,32.64,0.83,5.1
513.52,32.64,0.83,5.1
513.55,32.64,0.83,5.1
513.57,32.64,0.83,5.1
513.59,32.63,0.83,5.11
513.66,32.63,0.83,5.11
513.69,32.63,0.83,5.11
513.71,32.63,0.83,5.12
513.66,32.62,0.83,5.11
513.7,32.62,0.83,5.11
513.79,32.62,0.83,5.12
513.8,32.62,0.83,5.12
513.79,32.61,0.83,5.12
513.76,32.61,0.83,5.12
513.82,32.61,0.83,5.12
513.85,32.6,0.83,5.12
513.87,32.6,0.83,5.12
513.88,32.6,0.83,5.12
513.89,32.6,0.83,5.13
513.9,32.6,0.83,5.13
513.9,32.59,0.83,5.12
513.92,32.59,0.83,5.13
513.92,32.59,0.83,5.12
513.98,32.59,0.83,5.13
514,32.59,0.83,5.14
514.01,32.59,0.83,5.14
514.05,32.59,0.83,5.14
514.06,32.59,0.83,5.15
514.08,32.59,0.83,5.15
514.11,32.59,0.83,5.15
514.18,32.59,0.83,5.16
514.15,32.59,0.83,5.17
514.55,32.59,0.83,5.2
515.06,32.59,0.83,5.26
515.25,32.59,0.83,5.31
515.5,32.59,0.83,5.34
515.63,32.59,0.83,5.38
515.79,32.59,0.83,5.4
515.24,32.59,0.83,5.38
515.52,32.59,0.83,5.37
515.64,32.59,0.83,5.39
515.78,32.59,0.83,5.41
515.89,32.59,0.83,5.43
515.93,32.59,0.83,5.44
515.75,32.59,0.83,5.44
515.42,32.59,0.83,5.41
473.99,32.59,0.83,0
433.49,32.59,0.83,0
383.14,32.59,0.83,0
235.41,32.59,0.83,0
354.09,32.59,0.83,0
354.09,32.6,0.83,0
372.31,57.08,2.08,2.43
371.87,57.44,2.07,2.65
370.57,57.77,2.08,2.75
368.25,58.14,2.08,2.79
367.08,58.45,2.07,2.82
366.16,58.51,2.05,2.82
366.4,58.43,2.05,2.8
367.12,58.28,2.05,2.76
367.55,58.2,2.05,2.74
367.73,58.13,2.05,2.74
367.88,58.13,2.04,2.75
368.1,58.16,2.05,2.76
367.89,58.2,2.05,2.78
368.03,58.17,2.05,2.77
368.02,58.18,2.05,2.77
368.24,58.24,2.03,2.82
367.7,58.3,2.04,2.84
367.5,58.3,2.04,2.83
367.76,58.3,2.05,2.83
367.8,58.32,2.03,2.84
367.56,58.32,2.02,2.85
367.88,58.3,2.03,2.85
367.98,58.29,2.01,2.87
368.13,58.27,2,2.89
368.51,58.27,2.02,2.93
367.99,58.38,2.02,2.94
367.18,58.53,2.04,2.96
366.71,58.68,2,2.98
366.3,58.92,2.02,3.1
364.19,59.25,2.05,3.13
361.73,59.58,2.02,3.07
360.68,59.94,2.01,3.2
360.36,60.2,2.01,3.31
357.82,60.43,2.02,3.3
357.7,60.6,2.01,3.3
357.9,60.61,2,3.35
358.51,60.46,1.99,3.37
359.79,60.24,1.98,3.36
360.38,60.07,1.98,3.34
361.01,59.96,1.98,3.3
360.47,59.95,2.09,3.3
357.71,59.98,2.08,2.81
358.26,60.04,2.08,2.88
358.62,60.14,2.05,2.94
358.8,60.14,2.04,2.97
359.28,60.05,1.99,3.12
361.2,59.93,2,3.29
360.72,59.76,1.99,3.14
361.69,59.58,2,3.09
361.98,59.59,2.01,3.08
361.31,59.72,2.01,3.1
360.36,59.92,2.01,3.12
360.06,59.96,2,3.14
360.97,59.69,1.98,3.12
363.14,59.28,1.96,3.07
365.78,58.91,2.01,3.03
364.23,58.66,2.02,2.73
365.24,58.58,2.01,2.7
366.14,58.58,1.99,2.77
365.55,58.66,1.99,2.82
365.2,58.7,2,2.83
365.84,58.55,1.98,2.82
367.11,58.28,2.01,2.78
367.56,58.02,2,2.63
368.5,57.88,2.02,2.61
368.42,57.84,2,2.57
368.39,57.86,2.01,2.56
368.34,57.85,2.01,2.57
368.62,57.82,2.01,2.57
368.72,57.79,2.01,2.57
368.93,57.75,2.01,2.56
369.44,57.64,2,2.55
370.04,57.52,2.01,2.54
370.07,57.48,2,2.52
370.13,57.49,2,2.51
370.21,57.48,2,2.51
370.73,57.37,1.98,2.51
371.97,57.16,1.98,2.51
372.99,56.92,1.99,2.49
373.6,56.75,2,2.45
374.17,56.6,2,2.41
374.23,56.59,2,2.38
374.2,56.59,1.99,2.37
374.46,56.54,2,2.36
375.1,56.4,1.99,2.36
376.48,56.15,2,2.35
377.32,55.89,1.99,2.3
378.53,55.67,2,2.26
378.94,55.52,2,2.23
388.88,54.56,1.43,2.27
404.45,51.01,1.35,2.39
407.98,50.62,1.34,2.47
415.66,49.68,1.31,3.09
420.27,51.56,1.76,3.56
404.67,51.09,1.75,2.55
417.45,48.64,1.83,2.27
428.17,46.62,1.73,2.47
435.04,44.91,1.62,2.24
442.83,43.44,1.56,2.2
449.04,42.08,1.47,2.17
455.5,40.75,1.39,2.11
462.41,39.33,1.32,2.09
468.96,37.94,1.25,2.05
474.96,36.67,1.19,2.01
481,35.39,1.12,1.98
487.02,34.1,1.06,1.95
492.74,32.88,1.02,1.92
497.69,31.8,0.99,1.89
501.94,30.84,0.97,1.85
504.69,30.18,0.95,1.79
506.96,29.67,0.96,1.74
506.68,29.57,0.99,1.68
504.92,29.92,1.05,1.61
504.2,30.18,1.05,1.63
503.69,30.3,1.09,1.66
503.99,30.34,1.09,1.7
503.54,30.41,1.11,1.72
503.8,30.45,1.11,1.77
503.25,30.51,1.12,1.77
502.78,30.63,1.13,1.77
501.95,30.78,1.14,1.77
501.32,30.93,1.14,1.77
500.94,31.09,1.15,1.79
500.45,31.26,1.16,1.85
499.5,31.4,1.15,1.87
498.9,31.58,1.1,1.86
497.51,31.77,1.11,1.81
497.09,31.93,1.11,1.85
496.86,31.99,1.09,1.85
499.85,31.46,1.04,1.91
503.23,30.68,1.04,1.92
504.8,30.29,1.04,1.88
505.61,30.08,1.04,1.85
505.78,30.01,1.04,1.82
506.06,29.96,1.03,1.81
505.87,29.97,1.04,1.79
505.56,30.05,1.05,1.79
504.52,30.24,1.05,1.77
503.76,30.44,1.06,1.78
502.98,30.61,1.05,1.79
502.08,30.81,1.08,1.8
500.91,31.06,1.07,1.8
499.96,31.24,1.04,1.81
499.73,31.31,1.04,1.78
500.17,31.23,1.03,1.82
500.09,31.26,1.03,1.81
500.28,31.22,1.04,1.84
500.65,31.15,1.04,1.83
500.69,31.13,1.04,1.84
499.97,31.26,1.05,1.82
498.57,31.54,1.07,1.81
496.72,31.94,1.07,1.81
495.29,32.27,1.08,1.83
494.37,32.52,1.07,1.85
494.12,32.61,1.06,1.89
494.36,32.54,1.05,1.9
494.73,32.47,1.04,1.9
495.13,32.44,1.03,1.9
495.35,32.39,1.03,1.94
495.58,32.33,1.02,1.93
495.3,32.34,1.03,1.92
494.17,32.6,1.04,1.9
492.64,32.92,1.05,1.9
492.12,33.07,1.05,1.92
491.52,33.2,1.05,1.93
491.22,33.26,1.05,1.94
490.87,33.32,1.05,1.94
491.22,33.29,1.05,1.95
491.27,33.27,1.04,1.96
491.85,33.18,1.03,1.97
492.37,33.02,1.03,1.96
492.48,32.97,1.04,1.95
491.8,33.14,1.05,1.94
491.36,33.22,1.05,1.94
490.87,33.33,1.05,1.94
490.39,33.44,1.05,1.95
490.48,33.42,1.05,1.96
490.49,33.43,1.04,1.96
490.69,33.39,1.04,1.96
490.53,33.4,1.05,1.96
490.17,33.48,1.05,1.95
490.51,33.44,1.04,1.96
490.8,33.37,1.04,1.96
490.74,33.35,1.04,1.95
491,33.33,1.04,1.96
491.07,33.29,1.04,1.95
490.87,33.33,1.04,1.95
490.88,33.33,1.04,1.95
490.41,33.43,1.04,1.94
490.09,33.49,1.05,1.95
489.8,33.58,1.03,1.95
489.66,33.66,1.04,1.96
490.99,33.56,0.84,2.05
491.93,33.39,0.84,2.13
493.04,33.18,0.83,2.17
494.01,32.99,0.83,2.19
494.91,32.81,0.82,2.19
495.69,32.63,0.82,2.19
496.63,32.42,0.81,2.18
497.25,32.21,0.81,2.15
498.48,31.98,0.8,2.14
499.58,31.74,0.8,2.14
500.81,31.5,0.79,2.14
501.77,31.29,0.79,2.13
502.68,31.1,0.79,2.13
503.65,30.89,0.78,2.13
504.56,30.71,0.78,2.12
505.13,30.56,0.78,2.11
506.22,30.37,0.77,2.12
506.62,30.22,0.77,2.11
507.3,30.1,0.77,2.1
508.02,29.97,0.77,2.11
508.49,29.85,0.76,2.12
509.16,29.73,0.76,2.12
509.68,29.63,0.76,2.12
510.24,29.52,0.75,2.13
510.76,29.42,0.75,2.14
511.21,29.31,0.75,2.14
511.74,29.21,0.75,2.14
512.14,29.11,0.75,2.14
512.61,29.02,0.74,2.14
513.08,28.92,0.74,2.14
513.49,28.84,0.74,2.13
513.95,28.75,0.74,2.14
514.34,28.66,0.74,2.14
514.72,28.58,0.74,2.14
515.05,28.5,0.73,2.14
515.44,28.42,0.73,2.13
515.71,28.35,0.73,2.13
516.02,28.29,0.73,2.13
516.35,28.22,0.73,2.13
516.6,28.16,0.73,2.13
516.88,28.1,0.73,2.13
517.2,28.04,0.73,2.14
517.47,27.98,0.73,2.13
517.78,27.92,0.73,2.13
518,27.86,0.72,2.13
518.21,27.81,0.72,2.13
518.5,27.76,0.72,2.13
518.76,27.71,0.72,2.13
518.98,27.66,0.72,2.13
519.17,27.61,0.72,2.13
519.4,27.56,0.72,2.13
519.62,27.52,0.72,2.12
519.78,27.47,0.72,2.12
520.05,27.43,0.72,2.12
520.22,27.39,0.72,2.12
520.37,27.35,0.72,2.12
520.55,27.31,0.72,2.12
520.71,27.27,0.71,2.12
520.86,27.24,0.71,2.12
521.02,27.21,0.71,2.11
521.21,27.17,0.71,2.11
521.33,27.13,0.71,2.11
521.55,27.09,0.71,2.11
521.67,27.06,0.71,2.11
521.82,27.03,0.71,2.11
521.97,27,0.71,2.11
522.08,26.97,0.71,2.11
522.19,26.94,0.71,2.1
522.41,26.91,0.71,2.11
522.54,26.88,0.71,2.11
522.78,26.84,0.71,2.11
522.88,26.8,0.71,2.11
523.01,26.77,0.7,2.1
523.12,26.74,0.7,2.1
523.31,26.7,0.7,2.1
523.47,26.67,0.7,2.1
523.59,26.64,0.7,2.1
523.73,26.61,0.7,2.1
523.83,26.59,0.7,2.1
523.96,26.56,0.7,2.1
524.06,26.54,0.7,2.1
524.2,26.51,0.7,2.1
524.26,26.49,0.7,2.1
524.39,26.47,0.7,2.1
524.46,26.44,0.7,2.09
524.61,26.42,0.7,2.09
524.74,26.39,0.7,2.1
524.86,26.37,0.7,2.1
524.92,26.35,0.7,2.1
525.06,26.33,0.7,2.1
525.15,26.3,0.7,2.1
