OCR,T,P,c
463.36,43.13,1.34,5.23
463.56,43.07,1.35,5.23
463.06,43.18,1.35,5.22
463.38,43.11,1.34,5.23
463.78,43.04,1.34,5.23
463.18,43.13,1.35,5.22
463.73,43.03,1.35,5.22
463.29,43.13,1.35,5.22
463.4,43.12,1.34,5.22
463.62,43.07,1.35,5.22
463.43,43.11,1.35,5.22
463.72,43.08,1.34,5.23
463.9,43.01,1.34,5.23
463.57,43.06,1.35,5.22
463.61,43.06,1.34,5.22
463.91,43,1.34,5.22
463.79,43.02,1.35,5.22
463.67,43.06,1.34,5.22
463.93,42.99,1.34,5.22
463.36,43.1,1.35,5.21
463.57,43.07,1.34,5.22
463.81,43.01,1.34,5.21
463.47,43.08,1.35,5.21
463.16,43.18,1.35,5.22
463.57,43.07,1.34,5.23
463.8,43.01,1.35,5.22
463.04,43.17,1.35,5.22
463.33,43.12,1.35,5.22
463.45,43.09,1.35,5.22
462.87,43.23,1.35,5.22
463.38,43.14,1.35,5.23
463.42,43.09,1.35,5.22
462.98,43.21,1.35,5.22
463.24,43.16,1.35,5.23
463.48,43.09,1.35,5.23
463.04,43.18,1.35,5.22
463.25,43.14,1.34,5.22
463.74,43.03,1.34,5.22
463.23,43.12,1.35,5.22
463.42,43.1,1.34,5.22
463.84,43,1.34,5.22
463.35,43.1,1.35,5.21
463.32,43.11,1.34,5.21
463.58,43.06,1.34,5.21
463.72,43.03,1.35,5.21
463.58,43.07,1.34,5.21
463.79,43.01,1.34,5.21
463.27,43.11,1.35,5.21
463.11,43.18,1.35,5.21
463.53,43.09,1.34,5.22
463.42,43.08,1.35,5.22
463.08,43.17,1.35,5.21
463.4,43.11,1.34,5.22
463.39,43.09,1.35,5.22
463.1,43.15,1.35,5.21
463.43,43.09,1.34,5.21
463.49,43.09,1.35,5.21
462.95,43.2,1.35,5.22
463.2,43.16,1.34,5.22
463.54,43.05,1.35,5.22
463.19,43.14,1.35,5.21
463.59,43.07,1.34,5.21
463.77,43.01,1.34,5.21
463.26,43.12,1.34,5.21
463.77,43.02,1.34,5.21
463.85,42.99,1.34,5.21
463.67,43.02,1.34,5.21
463.71,43.04,1.34,5.21
463.74,43.02,1.34,5.21
463.37,43.09,1.35,5.2
463.39,43.1,1.34,5.21
463.69,43.04,1.34,5.2
463.55,43.05,1.35,5.2
463.22,43.14,1.35,5.2
463.62,43.05,1.34,5.21
463.59,43.05,1.34,5.21
463.19,43.13,1.35,5.2
463.43,43.08,1.34,5.21
463.68,43.03,1.34,5.21
463.4,43.08,1.35,5.2
463.62,43.06,1.34,5.21
463.85,43,1.34,5.21
463.29,43.12,1.35,5.2
463.33,43.12,1.34,5.21
463.67,43.03,1.34,5.21
463.28,43.11,1.35,5.2
463.21,43.15,1.35,5.21
463.65,43.06,1.34,5.22
463.44,43.06,1.35,5.21
463.44,43.06,1.34,5.2
463.72,42.99,1.34,5.2
464.1,42.94,1.34,5.2
463.55,43.07,1.34,5.2
463.75,43.03,1.34,5.21
463.67,43.04,1.34,5.2
463.09,43.14,1.35,5.2
463.52,43.06,1.34,5.2
463.58,43.05,1.35,5.2
463.26,43.13,1.34,5.21
463.35,43.11,1.34,5.21
463.69,43.04,1.34,5.21
463.59,43.06,1.34,5.21
463.12,43.14,1.35,5.21
463.38,43.09,1.34,5.21
463.58,43.04,1.35,5.2
463.11,43.15,1.35,5.2
463.51,43.06,1.34,5.21
463.75,43.01,1.34,5.2
463.31,43.1,1.35,5.2
463.14,43.15,1.34,5.21
463.29,43.12,1.35,5.21
462.98,43.18,1.35,5.21
463.08,43.17,1.34,5.21
463.12,43.15,1.34,5.21
463.19,43.13,1.35,5.21
462.8,43.22,1.35,5.21
462.9,43.2,1.35,5.21
463.25,43.12,1.34,5.21
462.79,43.2,1.36,5.21
462.75,43.23,1.35,5.21
463.17,43.15,1.34,5.22
462.78,43.21,1.35,5.21
462.83,43.21,1.35,5.21
462.98,43.17,1.35,5.21
462.44,43.28,1.36,5.21
462.55,43.28,1.35,5.22
462.75,43.24,1.35,5.22
